WORKCENTER,WEEK_ENDING,WKOR_PRODUCT_CODE,SumOfstdhours,SumOfOThours,SumOfdthrs,SumOftotalhrs,comp_work,PTB,defects,SumOfREWORK_HRS,SumOfREPAIR_HRS,SumOfREFAB_HRS,totrwkhrs,total_def_cost
410034,2019/07/20,BA,0.7,0,0,0.7,,0,,,,,,
410035,2019/07/20,BA,0.7,0,0,0.7,,0,,,,,,
J0022701,2018/08/25,BW,6.5,0,0,6.5,,0,,,,,,
J0022709,2018/12/22,BW,8,0,0,8,,0,,,,,,
J0040402,2019/04/13,WA,0.2,0,0,0.2,,0,,,,,,
J0040402,2019/04/20,WA,4.3,0,0,4.3,,0,,,,,,
J0040402,2019/04/27,WA,0,1.2,0,1.2,,0,,,,,,
J0040402,2019/05/04,WA,0.5,0,6.2,6.7,,0,,,,,,
J0040402,2019/05/18,WA,0.5,0,0,0.5,,0,,,,,,
J0041301,2019/05/18,WA,7.8,0,0,7.8,,0,,,,,,
J0041701,2019/03/09,WA,1.5,0,0,1.5,,0,,,,,,
J0041901,2018/08/11,MG,22,16.3,0,38.3,,0,,,,,,
J0041901,2018/08/18,MG,175,30.2,2.6,207.8,0.805,0.39%,,,,,,
J0041901,2018/08/25,MG,180.5,16.2,0,196.7,,0,,,,,,
J0041901,2018/09/01,MG,130.6,16.8,0,147.4,,0,,,,,,
J0041901,2018/09/08,MG,135.1,38.7,21.2,195,0.184,0.09%,,,,,,
J0041901,2018/09/15,MG,148.3,16.3,4.2,168.8,,0,,,,,,
J0041901,2018/09/22,MG,134.5,32.7,1.2,168.4,,0,,,,,,
J0041901,2018/09/29,MG,154.2,27.3,10.2,191.7,2.53,1.32%,,,,,,
J0041901,2018/10/06,MG,156.1,37.9,10.3,204.3,,0,,,,,,
J0041901,2018/10/13,MG,132,21.9,12.6,166.5,,0,,,,,,
J0041901,2018/10/20,MG,134.5,38.8,9,182.3,,0,,,,,,
J0041901,2018/10/27,MG,139.9,29.3,0,169.2,,0,,,,,,
J0041901,2018/11/03,MG,134.9,39.9,2.1,176.9,,0,,,,,,
j0041901,2018/11/10,MG,130.8,33.6,0,164.4,,0,,,,,,
J0041901,2018/11/17,MG,128.5,31.3,6.1,165.9,1.736,1.05%,,,,,,
J0041901,2018/11/24,MG,60.7,4.6,11.2,76.5,,0,,,,,,
J0041901,2018/12/01,MG,120.4,25,0,145.4,,0,,,,,,
J0041901,2018/12/08,MG,149.3,25.6,16.5,191.4,23.711,12.39%,,,,,,
J0041901,2018/12/15,MG,95.8,19.3,0,115.1,,0,,,,,,
J0041901,2018/12/22,MG,98.2,12.6,9.9,120.7,,0,,,,,,
J0041901,2019/01/05,MG,84.3,20,0,104.3,,0,,,,,,
J0041901,2019/01/12,MG,105.1,24.4,5.9,135.4,,0,,,,,,
J0041901,2019/01/19,MG,63.7,25,0,88.7,1.265,1.43%,,,,,,
